0.1,0.06924,0
0.12,0.05862,0
0.14,0.06707,0
0.16,0.06948,0
0.18,0.06529,0
0.2,0.0584,0
0.22,0.07666,0
0.24,0.06972,0
0.26,0.07084,0
0.28,0.06872,0
0.3,0.06632,0
0.35,0.06994,0
0.4,0.07517,0
0.45,0.05861,0
0.5,0.06914,0
0.55,0.06542,0
0.6,0.0582,0
0.65,0.06597,0
0.7,0.06873,0
0.75,0.05989,0
0.8,0.06428,0
0.85,0.06311,0
0.9,0.06911,0
0.95,0.06451,0
1,0.06558,0
1.25,0.06855,0
1.5,0.07142,0
1.75,0.06505,0
2,0.06598,0
2.5,0.07048,0
3,0.06402,0
3.5,0.06254,0
4,0.06795,0
4.5,0.06829,0
5,0.07325,0
6,0.0691,0
7,0.06389,0
8,0.0631,0
9,0.06582,0
10,0.06955,0
12,0.06241,0
14,0.06818,0
16,0.07398,0
18,0.06161,0
20,0.05737,0
25,0.05769,0
30,0.06516,0
35,0.06175,0
40,0.06186,0
45,0.05671,0
50,0.06814,0
60,0.05612,0
70,0.05533,0
80,0.06205,0
90,0.05675,0
100,0.07308,0
120,0.06646,0
140,0.06472,0
160,0.0683,0
180,0.05767,0
200,0.05351,0
220,0.06565,0
240,0.05807,0
260,0.06529,0
280,0.06268,0
300,0.06806,-0.02741
350,0.0696,-0.02559
400,0.04647,0.02051
450,0.06074,0.01572
500,0.04587,0.02497
600,0.06132,0.01984
700,0.0485,0.04068
800,0.05839,0.0369
900,0.04554,0.06073
1000,0.05331,0.04521
1250,0.03898,0.04877
1500,0.0421,0.08463
1750,0.03508,0.07499
2000,0.04264,0.04421
2500,0.0407,0.09369
3000,0.02234,0.11392
3500,0.01753,0.18609
4000,0.01923,0.14909
4500,0.02761,0.19844
5000,0.02497,0.17416
6000,0.01284,0.19649
7000,0.01688,0.22635
8000,0.01082,0.27477
8800,0.00626,0.24443
9999.98,0.01551,0.33445
9999.99,0.00593,0.29546
9999.995,0.0092,0.29947
9999.999,0.0051,0.25219
11250,0.00755,0.29394
11500,0.00737,0.29819
11750,0.00134,0.35233
12000,0.01474,0.31141
12500,0.01917,0.3372
13000,0.00458,0.30749
13500,0.0026,0.32316
14000,-0.00398,0.38175
14500,0.00617,0.37256
15000,0.00789,0.34329
16000,0.00746,0.36586
17000,0.01102,0.34147
18000,-0.00162,0.40341
18800,0.00566,0.37223
19999.98,0.0134,0.4073
19999.99,0.00193,0.42205
19999.995,0.01198,0.40474
19999.999,0.00489,0.3909
21250,0.00929,0.40866
21500,0.00583,0.4075
21750,0.00106,0.42576
22000,0.00807,0.39993
22500,0.01271,0.42284
23000,0.00592,0.39774
