0.1,0.07034,0.00693,0
0.12,0.06718,0.0053,0
0.14,0.05898,0.00478,0
0.16,0.05349,0.00609,0
0.18,0.06563,0.00585,0
0.2,0.06084,0.00428,0
0.22,0.07018,0.00379,0
0.24,0.06795,0.0073,0
0.26,0.05401,0.00204,0
0.28,0.06681,0.00399,0
0.3,0.0521,0.00495,0
0.35,0.05745,0.00558,0
0.4,0.05438,0.01039,0
0.45,0.05731,0.00246,0
0.5,0.05227,0.00477,0
0.55,0.05969,0.00429,0
0.6,0.05272,0.00639,0
0.65,0.06317,0.00341,0
0.7,0.06019,0.00437,0
0.75,0.05728,0.00666,0
0.8,0.06139,0.00493,0
0.85,0.06045,0.00474,0
0.9,0.05001,0.00477,0
0.95,0.06111,0.00253,0
1,0.05875,0.004,0
1.25,0.05956,0.00288,0
1.5,0.06319,0.00349,0
1.75,0.05804,0.00772,0
2,0.05556,0.00538,0
2.5,0.06495,0.00243,0
3,0.06703,0.0028,0
3.5,0.05949,0.00625,0
4,0.06345,0.00232,0
4.5,0.05224,0.00624,0
5,0.06078,0.00573,0
6,0.05471,0.00782,0
7,0.06071,0.0084,0
8,0.05121,0.00647,0
9,0.06395,0.00872,0
10,0.05929,0.00486,0
12,0.05212,0.00685,0
14,0.06151,0.00411,0
16,0.07477,0.00622,0
18,0.05027,0.01101,0
20,0.04817,0.0063,0
25,0.05352,0.00707,0
30,0.06899,0.00849,0
35,0.06663,0.00813,0
40,0.05653,0.01352,0
45,0.06644,0.01066,0
50,0.06643,0.00985,0
60,0.063,0.01317,0
70,0.05719,0.01471,0
80,0.06683,0.01047,0
90,0.06477,0.00966,-9.64E-04
100,0.05415,0.01026,0.00757
120,0.06307,0.01072,0.00902
140,0.0611,0.00827,0.02143
160,0.05833,0.00716,0.01855
180,0.0673,0.01027,0.02555
200,0.05918,0.00904,0.00395
220,0.05795,0.00705,0.00879
240,0.06227,0.00433,0.02115
260,0.06795,0.01117,0.0148
280,0.06423,0.01375,0.01068
300,0.05821,0.00506,0.01185
350,0.05756,0.00633,0.00883
400,0.05357,0.01053,0.01262
450,0.06066,0.00919,0.02212
500,0.05414,0.00747,0.0096
600,0.05614,0.00921,0.02131
700,0.05215,0.01008,0.02434
800,0.05357,0.00239,0.02825
900,0.0486,0.00995,0.03319
1000,0.04966,0.00741,0.03414
1250,0.04942,0.00686,0.04383
